time,SiC_stress,ave_gas_temp,buffer_void_volume,fis_gas_released,gap_volume,gas_pressure,initial_moles,kernel_th_density,kernel_void_volume,max_burnup,max_fluence,particle_power,strength_IPyC,strength_SiC
1900800,-219555130.09252,1006.389916315,4.2743105391493e-11,1.6417379325717e-10,2.97628821525e-12,27237.407435238,0,11212.655575986,1.4975069113708e-12,0.0059468391698769,2.154816e+24,0.10140016350603,214699746.69282,616804692.98098
1987200,-227185569.9782,1006.8384678661,4.2575445512568e-11,1.7431941158901e-10,3.1228228918692e-12,29004.344409404,0,11212.655575986,1.5292970971293e-12,0.0062171500412349,2.25504e+24,0.10140016350603,215015135.54887,616733084.32288
2073600,-234611902.9298,1007.2846784287,4.2408333921023e-11,1.8464151155308e-10,3.2691406119941e-12,30803.687145924,0,11212.655575986,1.5611284601926e-12,0.0064874609125929,2.355264e+24,0.10140016350603,215330680.37721,616664930.74662
2160000,-241838303.96018,1007.728428693,4.2241807037402e-11,1.9513646524826e-10,3.4151993835077e-12,32634.722756293,0,11212.655575986,1.592997361162e-12,0.006757771783951,2.455488e+24,0.10140016350603,215646393.55737,616599883.9849
2246400,-248868866.77971,1008.1696108683,4.207589801361e-11,2.0580086143362e-10,3.5609603500975e-12,34496.779025205,0,11212.655575986,1.6249004562884e-12,0.007028082655309,2.555712e+24,0.10140016350603,215962284.88506,616537649.50616
2332800,-255707605.20043,1008.6081277201,4.1910637005078e-11,2.1663148478734e-10,3.7063875401018e-12,36389.220372293,0,11212.655575986,1.6568346739868e-12,0.0072983935266671,2.655936e+24,0.10140016350603,216278362.04685,616477976.30697
2419200,-262358454.51703,1009.043891689,4.1746051420315e-11,2.2762529783494e-10,3.8514476361769e-12,38311.444363047,0,11212.655575986,1.6887971931788e-12,0.0075687043980251,2.75616e+24,0.10140016350603,216594630.9901,616420648.94461
2505600,-268825272.8757,1009.4768240844,4.1582166149681e-11,2.3877942512131e-10,3.9961097640772e-12,40262.878677077,0,11212.655575986,1.7207854233198e-12,0.0078390152693831,2.856384e+24,0.10140016350603,216911096.2131,616365481.26514
2592000,-275111842.62287,1009.9068543453,4.1419003775074e-11,2.5009113928125e-10,4.1403452989902e-12,42242.978459935,0,11212.655575986,1.7527969859866e-12,0.0081093261407412,2.956608e+24,0.10140016350603,217227760.9955,616312311.42046
2678400,-281221871.63962,1010.3339193649,4.1256584762095e-11,2.6155784872576e-10,4.2841276879765e-12,44251.223998588,0,11212.655575986,1.7848296979043e-12,0.0083796370120992,3.056832e+24,0.10140016350603,217544627.58232,616260997.8579
2764800,-287158994.65652,1010.7579628717,4.1094927636126e-11,2.7317708671096e-10,4.4274322871971e-12,46287.118671707,0,11212.655575986,1.8168815553038e-12,0.0086499478834572,3.157056e+24,0.10140016350603,217861697.33234,616211416.09985
2851200,-292926774.55428,1011.1789348633,4.0934049143644e-11,2.8494650159687e-10,4.5702362126942e-12,48350.18713443,0,11212.655575986,1.8489507195073e-12,0.0089202587548153,3.25728e+24,0.10140016350603,218178970.83862,616163456.10731
2937600,-298528703.64417,1011.596791088,4.0773964399994e-11,2.968638481342e-10,4.7125182036134e-12,50439.973704409,0,11212.655575986,1.8810355036496e-12,0.0091905696261733,3.357504e+24,0.10140016350603,218496448.0271,616117020.121
3024000,-303968204.93613,1012.0114925708,4.0614687024734e-11,3.0892697964433e-10,4.8542584968248e-12,52556.040921261,0,11212.655575986,1.9131343604446e-12,0.0094608804975314,3.457728e+24,0.10140016350603,218814128.23734,616072020.88481
3110400,-309248633.38613,1012.4230051793,4.0456229265588e-11,3.2113384097816e-10,4.9954387119975e-12,54697.9682563,0,11212.655575986,1.9452458709201e-12,0.0097311913688894,3.557952e+24,0.10140016350603,219132010.28998,616028380.16982
3196800,-314373277.12891,1012.831299226,4.0298602111958e-11,3.3348246215666e-10,5.1360417462532e-12,56865.350952915,0,11212.655575986,1.9773687340432e-12,0.010001502240247,3.658176e+24,0.10140016350603,219450092.54243,615986027.53962
3283200,-319345358.69275,1013.2363491049,4.0141815398853e-11,3.4597095261107e-10,5.2760516775971e-12,59057.798981021,0,11212.655575986,2.0095017571701e-12,0.010271813111605,3.7584e+24,0.10140016350603,219768372.93551,615944899.31624
3369600,-324168036.19882,1013.6381329586,3.9985877902048e-11,3.5859749595178e-10,5.4154536763894e-12,61274.936091547,0,11212.655575986,2.0416438472535e-12,0.010542123982964,3.858624e+24,0.10140016350603,220086849.03291,615904937.70913
3456000,-328844404.54317,1014.0366323729,3.9830797425207e-11,3.7136034520511e-10,5.5542339241815e-12,63516.398958897,0,11212.655575986,2.0737940027517e-12,0.010812434854322,3.958848e+24,0.10140016350603,220405518.05445,615866090.07532
3542400,-333377496.56139,1014.4318320979,3.9676580879635e-11,3.8425781846597e-10,5.6923795392963e-12,65781.836401069,0,11212.655575986,2.1059513061819e-12,0.01108274572568,4.059072e+24,0.10140016350603,220724376.90429,615828308.29117
3628800,-337770284.17855,1014.823719792,3.9523234357293e-11,3.9728829492022e-10,5.8298785085833e-12,68070.908668603,0,11212.655575986,2.13811491727e-12,0.011353056597038,4.159296e+24,0.10140016350603,221043422.19502,615791548.21365
3715200,-342025679.54066,1015.2122857875,3.9370763197629e-11,4.1045021119828e-10,5.9667196248256e-12,70383.286794559,0,11212.655575986,2.1702840666482e-12,0.011623367468396,4.25952e+24,0.10140016350603,221362650.26841,615755769.21997
3801600,-346146536.13091,1015.5975228761,3.9219172048761e-11,4.2374205802425e-10,6.1028924293227e-12,72718.65199905,0,11212.655575986,2.2024580500584e-12,0.011893678339754,4.359744e+24,0.10140016350603,221682057.21328,615720933.80981
3888000,-350135649.86942,1015.9794261113,3.9068464923482e-11,4.3716237713171e-10,6.2383871592054e-12,75076.695142312,0,11212.655575986,2.2346362230223e-12,0.012163989211112,4.459968e+24,0.10140016350603,222001638.88081,615687007.26139
3974400,-353995760.19599,1016.3579926281,3.8918645250533e-11,4.5070975841854e-10,6.3731946990851e-12,77457.116221479,0,11212.655575986,2.2668179959396e-12,0.01243430008247,4.560192e+24,0.10140016350603,222321390.89808,615653957.33391
4060800,-357729551.1378,1016.7332214774,3.8769715921532e-11,4.643828373181e-10,6.5073065366661e-12,79859.623906438,0,11212.655575986,2.2990028295823e-12,0.012704610953828,4.660416e+24,0.10140016350603,222641308.67972,615621754.00735
4147200,-361339652.35986,1017.1051134736,3.862167933395e-11,4.7818029236585e-10,6.6407147219843e-12,82283.935110963,0,11212.655575986,2.3311902309528e-12,0.012974921825186,4.76064e+24,0.10140016350603,222961387.4383,615590369.2559
4233600,-364828640.20022,1017.4736710552,3.8474537430452e-11,4.9210084294342e-10,6.7734118299631e-12,84729.774595679,0,11212.655575986,2.3633797494778e-12,0.013245232696544,4.860864e+24,0.10140016350603,223281622.19335,615559776.84975
4320000,-368199038.6889,1017.8388981562,3.8328291734922e-11,5.061432471835e-10,6.9053909260024e-12,87196.874599835,0,11212.655575986,2.3955709735097e-12,0.013515543567902,4.961088e+24,0.10140016350603,223602007.77949,615529952.1802
4406400,-371453320.55125,1018.2008000884,3.8182943385456e-11,5.2030630002136e-10,7.0366455343427e-12,89684.974499143,0,11212.655575986,2.4277635271134e-12,0.01378585443926,5.061312e+24,0.10140016350603,223922538.85364,615500872.10617
4492800,-374593908.19551,1018.5593834333,3.803849316458e-11,5.3458883138021e-10,7.1671696089648e-12,92193.820487352,0,11212.655575986,2.4599570671145e-12,0.014056165310618,5.161536e+24,0.10140016350603,224243209.90144,615472514.81866
4579200,-377623174.68469,1018.9146559404,3.7894941526931e-11,5.489897044786e-10,7.2969575068188e-12,94723.165279451,0,11212.655575986,2.4921512803837e-12,0.014326476181976,5.26176e+24,0.10140016350603,224564015.24318,615444859.71984
4665600,-380543444.69353,1019.266626438,3.7752288624622e-11,5.6350781424966e-10,7.4260039631551e-12,97272.76783435,0,11212.655575986,2.5243458813516e-12,0.014596787053334,5.361984e+24,0.10140016350603,224884949.03911,615417887.31703
4752000,-383356995.44917,1019.6153047485,3.7610534330487e-11,5.7814208586289e-10,7.5543040688162e-12,99842.39309594,0,11212.655575986,2.5565406097196e-12,0.014867097924692,5.462208e+24,0.10140016350603,225206005.2942,615391579.12754
4838400,-386066057.65772,1019.9607016075,3.7469678259383e-11,5.9289147334013e-10,7.6818532492947e-12,102431.81175041,0,11212.655575986,2.5887352283578e-12,0.01513740879605,5.562432e+24,0.10140016350603,225527177.8628,615365917.59355
4924800,-388672816.41517,1020.3028285947,3.7329719787733e-11,6.077549582581e-10,7.8086472454102e-12,105040.79999844,0,11212.655575986,2.6209295213794e-12,0.015407719667408,5.662656e+24,0.10140016350603,225848460.45268,615340886.00684
5011200,-391179412.1036,1020.6416980662,3.7190658071441e-11,6.2273154853078e-10,7.9346820954738e-12,107669.13934162,0,11212.655575986,2.6531232923706e-12,0.015678030538766,5.76288e+24,0.10140016350603,226169846.62902,615316468.44074
5097600,-393587941.27215,1020.9773230937,3.7052492062336e-11,6.3782027726547e-10,8.0599541188084e-12,110316.61638154,0,11212.655575986,2.6853163627667e-12,0.015948341410124,5.863104e+24,0.10140016350603,226491329.81799,615292649.68888
5184000,-395900457.50446,1021.3097174075,3.691522052326e-11,6.5302020168672e-10,8.1844599005093e-12,112983.02263051,0,11212.655575986,2.7175085703607e-12,0.016218652281482,5.963328e+24,0.10140016350603,226812903.31034,615269415.21147
5270400,-398118972.27029,1021.6388953444,3.6778842041926e-11,6.6833040212339e-10,8.3081962773397e-12,115668.15433327,0,11212.655575986,2.7496997679368e-12,0.01648896315284,6.063552e+24,0.10140016350603,227134560.26459,615246751.08443
5356800,-400245455.76385,1021.9648717988,3.6643355043647e-11,6.837499810538e-10,8.4311603246654e-12,118371.81229866,0,11212.655575986,2.7818898220144e-12,0.016759274024198,6.163776e+24,0.10140016350603,227456293.71038,615224643.95563
5443200,-402281837.72749,1022.287662178,3.6508757803031e-11,6.9927806220525e-10,8.5533493443378e-12,121093.80174053,0,11212.655575986,2.8140786116975e-12,0.017029584895556,6.264e+24,0.10140016350603,227778096.55149,615203081.00508
5529600,-404230008.2613,1022.6072823603,3.6375048454743e-11,7.1491378970338e-10,8.6747608534472e-12,123833.93212738,0,11212.655575986,2.8462660276185e-12,0.017299895766915,6.364224e+24,0.10140016350603,228099961.56884,615182049.90716
5616000,-406091818.61827,1022.923748335,3.6242225116398e-11,7.3065632727091e-10,8.7953924595226e-12,126592.01734126,0,11212.655575986,2.8784519723193e-12,0.017570206638273,6.464448e+24,0.10140016350603,228421881.42351,615161538.79827
5702400,-407869081.98004,1023.2370736299,3.6110286793881e-11,7.4650485748489e-10,8.9152409439777e-12,129367.87766928,0,11212.655575986,2.9106363699981e-12,0.017840517509631,6.564672e+24,0.10140016350603,228743848.6597,615141536.24756
5788800,-409563574.25147,1023.5472753597,3.5979231255098e-11,7.6245858099182e-10,9.0343044155606e-12,132161.33116422,0,11212.655575986,2.9428191377866e-12,0.018110828380989,6.664896e+24,0.10140016350603,229065855.70728,615122031.22574
5875200,-411177034.7763,1023.8543676213,3.58490573975e-11,7.7851671591034e-10,9.1525799068678e-12,134972.20645323,0,11212.655575986,2.9750002203215e-12,0.018381139252347,6.76512e+24,0.10140016350603,229387894.88521,615103013.08545
5961600,-412711167.1131,1024.1583654936,3.5719763808066e-11,7.9467849711966e-10,9.2700648369894e-12,137800.33140677,0,11212.655575986,3.0071795656303e-12,0.018651450123705,6.865344e+24,0.10140016350603,229709958.4039,615084471.5341
6048000,-414167639.75075,1024.459284405,3.5591348976806e-11,8.1094317565342e-10,9.386756794353e-12,140645.53801401,0,11212.655575986,3.0393571273905e-12,0.018921760995063,6.965568e+24,0.10140016350603,230032038.36831,615066396.61433
6134400,-415548086.83394,1024.7571427773,3.5463810274694e-11,8.2731001807331e-10,9.5026545767349e-12,143507.65851668,0,11212.655575986,3.071532845582e-12,0.019192071866421,7.065792e+24,0.10140016350603,230354126.78064,615048778.68448
6220800,-416854108.84805,1025.0519592691,3.5337144987972e-11,8.4377830597676e-10,9.61775713549e-12,146386.5317493,0,11212.655575986,3.1037066666171e-12,0.019462382737779,7.166016e+24,0.10140016350603,230676215.54352,615031608.4024
6307200,-418087273.31898,1025.3437527514,3.521135032392e-11,8.6034733547031e-10,9.7320635689644e-12,149281.99974968,0,11212.655575986,3.135878542793e-12,0.019732693609137,7.26624e+24,0.10140016350603,230998296.46275,615014876.70749
6393600,-419249115.49292,1025.6325422869,3.5086423416184e-11,8.7701641666834e-10,9.8455731163429e-12,152193.90766765,0,11212.655575986,3.1680484317904e-12,0.020003004480495,7.366464e+24,0.10140016350603,231320361.25044,614998574.80701
6480000,-420341138.98948,1025.9183443748,3.496236237352e-11,8.9378487329513e-10,9.9582840790075e-12,155122.1071297,0,11212.655575986,3.2002163252833e-12,0.020273315351853,7.466688e+24,0.10140016350603,231642401.52792,614982694.16268
6566400,-421364816.48852,1026.2011776913,3.4839164480705e-11,9.1065204207246e-10,1.0070195671162e-11,158066.44647001,0,11212.655575986,3.2323821960742e-12,0.020543626223211,7.566912e+24,0.10140016350603,231964408.82851,614967226.47687
6652800,-422321590.33539,1026.4810591839,3.4716827649676e-11,9.2761727242304e-10,1.0181306522681e-11,161026.78195007,0,11212.655575986,3.2645460428944e-12,0.020813937094569,7.667136e+24,0.10140016350603,232286374.60103,614952163.68153
6739200,-423212873.20577,1026.7580085398,3.4595348771385e-11,9.4467992589231e-10,1.0291616379959e-11,164002.96669703,0,11212.655575986,3.2967078364051e-12,0.021084247965927,7.76736e+24,0.10140016350603,232608290.21254,614937497.92546
6825600,-424040048.69573,1027.0320455961,3.447472466557e-11,9.6183937585699e-10,1.0401125123567e-11,166994.8600689,0,11212.655575986,3.3288675505943e-12,0.021354558837285,7.867584e+24,0.10140016350603,232930146.95184,614923221.56818
6912000,-424804471.93514,1027.3031893212,3.4354952444119e-11,9.7909500718808e-10,1.0509832390965e-11,170002.32537997,0,11212.655575986,3.3610251754803e-12,0.021624869708643,7.967808e+24,0.10140016350603,233251936.0327,614909327.1677
6998400,-425507470.19246,1027.571458772,3.4236029170697e-11,9.9644621584564e-10,1.0617737929199e-11,173025.22717336,0,11212.655575986,3.3931807036004e-12,0.021895180580001,8.068032e+24,0.10140016350603,233573648.5971,614895807.47388
7084800,-426150343.45911,1027.8368740423,3.4117951517918e-11,1.0138924084934e-09,1.0724841949511e-11,176063.43118598,0,11212.655575986,3.4253341170548e-12,0.022165491451359,8.168256e+24,0.10140016350603,233895275.71846,614882655.41699
7171200,-426734365.01648,1028.0994552786,3.4000716115521e-11,1.031433002215e-09,1.0831144764773e-11,179116.80699226,0,11212.655575986,3.4574854007731e-12,0.022435802322717,8.26848e+24,0.10140016350603,234216808.40523,614869864.10474
7257600,-427260782.00146,1028.3592226682,3.3884319553271e-11,1.0490674241979e-09,1.0936646785698e-11,182185.22655414,0,11212.655575986,3.489634542266e-12,0.022706113194075,8.368704e+24,0.10140016350603,234538237.60446,614857426.81313
7344000,-427730815.961,1028.6161964274,3.3768758383655e-11,1.0667951114307e-09,1.1041348517264e-11,185268.56416303,0,11212.655575986,3.5217815313981e-12,0.022976424065433,8.468928e+24,0.10140016350603,234859554.20525,614845336.97929
7430400,-428145663.39324,1028.8703967916,3.3654029124411e-11,1.0846155104133e-09,1.1145250555308e-11,188366.69638396,0,11212.655575986,3.5539263601791e-12,0.023246734936791,8.569152e+24,0.10140016350603,235180749.04221,614833588.19648
7516800,-428506496.28036,1029.1218440047,3.3540128260882e-11,1.102528076878e-09,1.1248353583288e-11,191479.50200164,0,11212.655575986,3.5860690225736e-12,0.023517045808149,8.669376e+24,0.10140016350603,235501812.89942,614822174.2079
7603200,-428814462.60827,1029.3705583098,3.3427052248232e-11,1.1205322755235e-09,1.1350658369195e-11,194606.86196848,0,11212.655575986,3.6182095143258e-12,0.023787356679507,8.7696e+24,0.10140016350603,235822736.5141,614811088.90416
7689600,-429070686.88155,1029.616559941,3.3314797513516e-11,1.1386275797582e-09,1.1452165762607e-11,197748.65935444,0,11212.655575986,3.6503478328e-12,0.024057667550866,8.869824e+24,0.10140016350603,236143510.5803,614800326.31257
7776000,-429276270.62253,1029.8598691142,3.3203360457625e-11,1.1568134714546e-09,1.1552876691871e-11,200904.77929854,0,11212.655575986,3.6824839768338e-12,0.024327978422224,8.970048e+24,0.10140016350603,236464125.75281,614789880.59716
7862400,-429432292.86554,1030.1005060201,3.3092737457119e-11,1.1750894407129e-09,1.165279216141e-11,204075.10896211,0,11212.655575986,3.7146179466042e-12,0.024598289293582,9.070272e+24,0.10140016350603,236784572.65125,614779746.05458
7948800,-429539810.63849,1030.3384908166,3.2982924865948e-11,1.1934549856341e-09,1.1751913249142e-11,207259.53748343,0,11212.655575986,3.7467497435043e-12,0.02486860016494,9.170496e+24,0.10140016350603,237104841.86393,614769917.10673
8035200,-429599859.43694,1030.5738436219,3.2873919017075e-11,1.2119096121017e-09,1.1850241104004e-11,210457.95593401,0,11212.655575986,3.7788793700304e-12,0.025138911036298,9.27072e+24,0.10140016350603,237424923.95189,614760388.29888
8121600,-429613453.68838,1030.8065845081,3.2765716224009e-11,1.2304528335716e-09,1.1947776943578e-11,213670.25727623,0,11212.655575986,3.8110068296807e-12,0.025409221907656,9.370944e+24,0.10140016350603,237744809.45313,614751154.29831
8208000,-429581587.20585,1031.036733495,3.2658312782253e-11,1.2490841708705e-09,1.2044522051803e-11,216896.3363223,0,11212.655575986,3.8431321268583e-12,0.025679532779014,9.471168e+24,0.10140016350603,238064488.88664,614742209.88493
8294400,-429505233.63736,1031.2643105447,3.2551704970671e-11,1.2678031520009e-09,1.2140477776778e-11,220136.08969452,0,11212.655575986,3.8752552667865e-12,0.025949843650372,9.571392e+24,0.10140016350603,238383952.75689,614733549.95354
8380800,-429385346.89961,1031.4893355559,3.244588905279e-11,1.2866093119541e-09,1.2235645528649e-11,223389.41578679,0,11212.655575986,3.907376255429e-12,0.02622015452173,9.671616e+24,0.10140016350603,238703191.55768,614725169.50962
8467200,-429222861.60957,1031.7118283591,3.2340861278027e-11,1.30550219253e-09,1.2330026777564e-11,226656.21472728,0,11212.655575986,3.9394950994172e-12,0.026490465393088,9.77184e+24,0.10140016350603,239022195.77715,614717063.66422
8553600,-429018693.50377,1031.9318087114,3.2236617882859e-11,1.3244813421625e-09,1.2423623051709e-11,229936.3883422,0,11212.655575986,3.9716118059831e-12,0.026760776264446,9.872064e+24,0.10140016350603,239340955.90144,614709227.6343
8640000,-428773739.84902,1032.1492962927,3.2133155091933e-11,1.3435463157525e-09,1.2516435935404e-11,233229.84012068,0,11212.655575986,4.0037263828995e-12,0.027031087135804,9.972288e+24,0.10140016350603,239659462.4198,614701656.73784
8726400,-428490652.53691,1032.3643050347,3.2030469112026e-11,1.3626966744304e-09,1.2608464703158e-11,236536.48665247,0,11212.655575986,4.0358388311467e-12,0.027301398007162,1.0072512e+25,0.10140016350603,239977602.54455,614694369.54436
8812800,-428170918.78367,1032.5768525966,3.1928556145305e-11,1.3819319854801e-09,1.2699710251623e-11,239856.23776801,0,11212.655575986,4.0679491569736e-12,0.02757170887852,1.0172736e+25,0.10140016350603,240295330.23796,614687369.54119
8899200,-427815316.70764,1032.7869587615,3.1827412387985e-11,1.4012518221978e-09,1.279017444865e-11,243189.00126757,0,11212.655575986,4.1000573698445e-12,0.027842019749878,1.027296e+25,0.10140016350603,240612640.28938,614680650.94796
8985600,-427424611.14669,1032.9946431861,3.1727034028286e-11,1.4206557637338e-09,1.2879859199043e-11,246534.6869949,0,11212.655575986,4.1321634795305e-12,0.028112330621236,1.0373184e+25,0.10140016350603,240929527.43292,614674208.07285
9072000,-426999551.22134,1033.1999254212,3.1627417247342e-11,1.4401433949524e-09,1.2968766452774e-11,249893.20627764,0,11212.655575986,4.1642674961021e-12,0.028382641492594,1.0473408e+25,0.10140016350603,241245986.28405,614668035.37935
9158400,-426540870.69596,1033.402824909,3.152855822005e-11,1.4597143062961e-09,1.3056898203421e-11,253264.47190331,0,11212.655575986,4.1963694298916e-12,0.028652952363952,1.0573632e+25,0.10140016350603,241562011.35111,614662127.48165
9244800,-426049288.3323,1033.6033609802,3.143045311587e-11,1.4793680936546e-09,1.3144256486665e-11,256648.3980909,0,11212.655575986,4.2284692914582e-12,0.02892326323531,1.0673856e+25,0.10140016350603,241877597.04752,614656479.1405
9331200,-425525508.23057,1033.8015528513,3.1333098099599e-11,1.4991043582379e-09,1.3230843378833e-11,260044.90046324,0,11212.655575986,4.2605670915595e-12,0.029193574106668,1.077408e+25,0.10140016350603,242192737.70295,614651085.257
9417600,-424970220.1696,1033.997419623,3.1236489332111e-11,1.5189227064539e-09,1.3316660995475e-11,263453.89602016,0,11212.655575986,4.2926628411211e-12,0.029463884978026,1.0874304e+25,0.10140016350603,242507427.57374,614645940.8703
9504000,-424384099.94222,1034.1909802772,3.1140622971066e-11,1.5388227497893e-09,1.3401711489986e-11,266875.30311237,0,11212.655575986,4.3247565512119e-12,0.029734195849384,1.0974528e+25,0.10140016350603,242821660.85412,614641041.15243
9590400,-423767809.66944,1034.3822536754,3.1045495171589e-11,1.5588041046955e-09,1.3485997052285e-11,270309.04141592,0,11212.655575986,4.3568482330199e-12,0.030004506720742,1.1074752e+25,0.10140016350603,243135431.68578,614636381.40417
9676800,-423121998.13018,1034.5712585573,3.0951102086923e-11,1.5788663924766e-09,1.3569519907502e-11,273755.03190746,0,11212.655575986,4.3889378978297e-12,0.0302748175921,1.1174976e+25,0.10140016350603,243448734.16794,614631957.05038
9763200,-422447301.06398,1034.758013538,3.0857439869058e-11,1.599009239183e-09,1.3652282314727e-11,277213.19684012,0,11212.655575986,4.421025557003e-12,0.030545128463458,1.12752e+25,0.10140016350603,243761562.36651,614627763.63986
9849600,-421744341.47838,1034.9425371074,3.0764504669333e-11,1.6192322755058e-09,1.3734286565788e-11,280683.45971987,0,11212.655575986,4.4531112219606e-12,0.030815439334817,1.1375424e+25,0.10140016350603,244073910.32392,614623796.83927
9936000,-421013729.94881,1035.1248476285,3.0672292639013e-11,1.6395351366771e-09,1.3815534984058e-11,284165.74528264,0,11212.655575986,4.4851949041644e-12,0.031085750206175,1.1475648e+25,0.10140016350603,244385772.06721,614620052.42987
10022400,-420256064.90624,1035.3049633358,3.0580799929851e-11,1.6599174623711e-09,1.3896029923306e-11,287659.97947194,0,11212.655575986,4.5172766151024e-12,0.031356061077533,1.1575872e+25,0.10140016350603,244697141.61732,614616526.30595
